model-1658373387,1658373392.147, 0.69, 0.2274, 0.6, 0.2343
model-1658373387,1658373392.167, 0.6, 0.2315, 0.57, 0.237
model-1658373387,1658373392.187, 0.52, 0.2463, 0.56, 0.2395
model-1658373387,1658373392.205, 0.53, 0.2457, 0.55, 0.24
model-1658373387,1658373392.225, 0.55, 0.2393, 0.53, 0.2394
model-1658373387,1658373392.243, 0.5, 0.2526, 0.57, 0.236
model-1658373387,1658373392.262, 0.52, 0.2427, 0.59, 0.2345
model-1658373387,1658373392.282, 0.64, 0.2372, 0.64, 0.2346
model-1658373387,1658373392.301, 0.66, 0.2351, 0.66, 0.2342
model-1658373387,1658373392.321, 0.59, 0.2476, 0.64, 0.2339
model-1658373387,1658373392.339, 0.64, 0.2407, 0.64, 0.2329
model-1658373387,1658373392.36, 0.66, 0.2296, 0.63, 0.2317
model-1658373387,1658373392.378, 0.55, 0.2502, 0.63, 0.2309
model-1658373387,1658373392.398, 0.55, 0.2476, 0.63, 0.2303
model-1658373387,1658373392.417, 0.61, 0.2416, 0.66, 0.2291
model-1658373387,1658373392.437, 0.53, 0.2486, 0.67, 0.2303
model-1658373387,1658373392.458, 0.65, 0.2391, 0.63, 0.2339
model-1658373387,1658373392.476, 0.61, 0.2353, 0.6, 0.2366
model-1658373387,1658373392.496, 0.64, 0.2312, 0.6, 0.237
model-1658373387,1658373392.52, 0.59, 0.233, 0.59, 0.2356
model-1658373387,1658373392.54, 0.6, 0.2509, 0.66, 0.2295
model-1658373387,1658373392.56, 0.43, 0.2468, 0.66, 0.2226
model-1658373387,1658373392.579, 0.54, 0.2422, 0.6, 0.2247
model-1658373387,1658373392.598, 0.6, 0.2381, 0.61, 0.2355
model-1658373387,1658373392.617, 0.46, 0.2872, 0.6, 0.2313
model-1658373387,1658373392.637, 0.56, 0.2394, 0.61, 0.2255
model-1658373387,1658373392.656, 0.67, 0.2246, 0.64, 0.2243
model-1658373387,1658373392.677, 0.65, 0.2288, 0.68, 0.2284
model-1658373387,1658373392.696, 0.61, 0.2331, 0.62, 0.2327
model-1658373387,1658373392.716, 0.6, 0.23, 0.62, 0.2329
model-1658373387,1658373392.736, 0.62, 0.2364, 0.64, 0.2319
model-1658373387,1658373392.755, 0.49, 0.257, 0.69, 0.2299
model-1658373387,1658373392.775, 0.59, 0.2329, 0.67, 0.2279
model-1658373387,1658373392.795, 0.63, 0.2374, 0.69, 0.2267
model-1658373387,1658373392.815, 0.63, 0.2323, 0.66, 0.2262
